source_id,person_id,source_url,source_type,source_title,date_accessed,fact_supported,source_extract_or_summary,source_quality
src-0001,,https://www.saica.org.za/members/member-info/meet-our-members/,Professional Body,,2026-09-18,"SAICA 'Meet our members' index — CAs(SA), AGA(SA) and member features with employer/title/qualification wording.","SAICA 'Meet our members' index — CAs(SA), AGA(SA) and member features with employer/title/qualification wording.",PRIMARY
src-0002,acc-0026,https://www.saica.org.za/news/in-a-better-shape-than-you-found-it-vusi-mpofu,Professional Body,,2026-09-18,"Vusi Mpofu AGA(SA): KPMG articles (June 1997), BCom NUL, MBA Wits 2010, Nedbank Sector Lead: Mining & Chemicals, ACTSA member.","Vusi Mpofu AGA(SA): KPMG articles (June 1997), BCom NUL, MBA Wits 2010, Nedbank Sector Lead: Mining & Chemicals, ACTSA member.",PRIMARY
src-0003,acc-0039,https://cfo.co.za/articles/absas-nkosana-dlamini-explains-the-value-of-cgma-credentials/,News,,2026-09-18,"Nkosana Dlamini ACMA, CGMA — head of risk reporting & risk regulatory advisory, Absa Group (Johannesburg); CIMA via Absa graduate programme.","Nkosana Dlamini ACMA, CGMA — head of risk reporting & risk regulatory advisory, Absa Group (Johannesburg); CIMA via Absa graduate programme.",STRONG
src-0004,acc-0040,https://cfo.co.za/articles/you-need-the-right-combination-of-qualifications-experience-and-ambition-to-become-a-cfo/,News,,2026-09-18,Mikateko Tshetshe FCMA — Unilever VP Finance Africa; BCom Accounting UNISA; Bayer apprenticeship background.,Mikateko Tshetshe FCMA — Unilever VP Finance Africa; BCom Accounting UNISA; Bayer apprenticeship background.,STRONG
src-0005,,https://fmjfinancial.co.za/guides/saipa-tax-practitioners/,Directory,,2026-09-18,"Ten named SAIPA Professional Accountant (SA) tax practitioners with firm, area and SAIPA/SARS numbers.","Ten named SAIPA Professional Accountant (SA) tax practitioners with firm, area and SAIPA/SARS numbers.",MODERATE
src-0006,acc-0042,https://thefinancestory.com/success-journey-becoming-ca-saica,CV,,2026-09-18,Taryn Raju: qualified CA(SA) via SAICA; BAcc Fort Hare; Honours (CTA); SAICA articles at Grant Thornton (signed off after 4 years).,Taryn Raju: qualified CA(SA) via SAICA; BAcc Fort Hare; Honours (CTA); SAICA articles at Grant Thornton (signed off after 4 years).,STRONG
src-0007,acc-0027,https://www.linkedin.com/in/kgabiso-mahlangu-aga-sa-b53a951a/,LinkedIn,,2026-09-18,"Kgabiso Mahlangu AGA(SA): Financial Accountant, SA State Theatre (Feb 2021–present); BCom UJ; Hons BCompt (CTA) UNISA.","Kgabiso Mahlangu AGA(SA): Financial Accountant, SA State Theatre (Feb 2021–present); BCom UJ; Hons BCompt (CTA) UNISA.",STRONG
src-0008,acc-0028,https://www.linkedin.com/in/dumisani-zulu-aga-sa-aimfo-a5a62622/,LinkedIn,,2026-09-18,"Dumisani Zulu AGA(SA) AIMFO: Bonakude Consulting, Port Shepstone; AGA(SA) issued Sep 2015 (SAICA); GRAP/CaseWare specialist.","Dumisani Zulu AGA(SA) AIMFO: Bonakude Consulting, Port Shepstone; AGA(SA) issued Sep 2015 (SAICA); GRAP/CaseWare specialist.",STRONG
src-0009,acc-0041,https://www.linkedin.com/in/mangalisomithi/,LinkedIn,,2026-09-18,"Mangaliso Mithi: MBA, CIMA-qualified (FCMA, CGMA) seasoned CFO, City of Johannesburg.","Mangaliso Mithi: MBA, CIMA-qualified (FCMA, CGMA) seasoned CFO, City of Johannesburg.",STRONG
src-0010,,https://www.aicpa-cima.com/news/article/new-generation-of-south-african-accounting-and-finance-professionals-awarded,Professional Body,,2026-09-18,AICPA & CIMA: 260 new CGMA designation holders awarded at a Johannesburg convocation (May 2024). Context for CGMA cohort discovery.,AICPA & CIMA: 260 new CGMA designation holders awarded at a Johannesburg convocation (May 2024). Context for CGMA cohort discovery.,PRIMARY
src-0011,,https://www.sap.com/africa/about/management-team.html,Employer Website,,2026-09-18,"SAP Africa leadership: Sandi De Souza CA(SA), CFO (May 2022), Deloitte articles, Henley MBA.","SAP Africa leadership: Sandi De Souza CA(SA), CFO (May 2022), Deloitte articles, Henley MBA.",PRIMARY
