Event_ID,Official_Event_Name,Alternative_Event_Names,Edition,Year,Start_Date,End_Date,City,Province,Venue,Online_Hybrid_Physical,Host,Organisers,Sponsors,Industry_or_Theme,Estimated_Participant_Count,Verified_Participant_Count,Number_of_Finalists,Number_of_Winners,Official_Website,Results_URL,Participant_List_URL,Archive_URL,Other_Sources,Completeness_Status,Research_Notes,Date_Verified
E001,Random Hacks of Kindness (RHoK) — Cape Town,Unknown,RHoK 3.0,2012,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,RHoK global community,Unknown,Unknown,Civic tech / humanitarian,Unknown,Unknown,Unknown,Unknown,Unknown,https://en.wikipedia.org/wiki/Random_Hacks_of_Kindness,Unknown,Unknown,https://en.wikipedia.org/wiki/Random_Hacks_of_Kindness,E,Existence per Wikipedia RHoK 3.0 city list (2012 events incl. Cape Town). No local results/participants located this pass.,2026-08-26
E002,NASA International Space Apps Challenge — South Africa,Unknown,2013,2013,2013-04-20,2013-04-21,Pretoria (main); virtual sites Stellenbosch & Cape Town,Gauteng; Western Cape,"mLab Southern Africa, Pretoria + virtual",Hybrid,NASA (global); mLab Southern Africa (local),Unknown,Unknown,Space / open data,Unknown,Unknown,4 local award projects,4,Unknown,https://2013.spaceappschallenge.org/location/johannesburg,Unknown,Unknown,https://2013.spaceappschallenge.org/location/johannesburg,C,Earliest verified Space Apps SA edition. Winning project team members not published on archived page.,2026-08-26
E003,Random Hacks of Kindness (RHoK) — Johannesburg,Unknown,2013,2013,2013-11-30,2013-12-01,Johannesburg,Gauteng,"ThoughtWorks, 17 Melle Street, Braamfontein",Physical,RHoK community (incl. Andreas Pauley et al.),Unknown,Unknown,Social / humanitarian,Unknown,Unknown,Unknown,Unknown,Unknown,https://groups.google.com/g/lambda-luminaries/c/t6sthhWGUzg,Unknown,Unknown,https://groups.google.com/g/lambda-luminaries/c/t6sthhWGUzg,D,Earliest SA hackathon event verified with date+venue this pass. Participant names not located.,2026-08-26
E004,Hacking Health Cape Town,Unknown,2014,2014,2014-01-24,2014-01-25,Cape Town,Western Cape,Groote Schuur Hospital,Physical,UCT Inclusive Healthcare Innovation Initiative (Bertha Centre + Faculty of Health Sciences) with Hacking Health & Medic Mobile,Unknown,Unknown,Health,100+,Unknown,10 teams,1,Unknown,https://marsdd.com/news-and-insights/hacking-healthcare-south-africa,Unknown,Unknown,https://marsdd.com/news-and-insights/hacking-healthcare-south-africa,B,First health hackathon of its kind on the African continent (per source).,2026-08-26
E005,#GovHackSA,Unknown,2014,2014,2014-05 (day event),Unknown,Cape Town,Western Cape,22seven offices,Physical,Unknown,Unknown,Unknown,Govtech / open data,40+,Unknown,Unknown,1,Unknown,https://mlab.co.za/news/govhacksa/,Unknown,Unknown,https://mlab.co.za/news/govhacksa/,C,Follow-on from SA open data policy work; partnership mentions with Silicon Cape.,2026-08-26
E006,Discovery GradHack,Unknown,2014 (first ever),2014,2014-08 (approx),Unknown,Unknown,Unknown,Unknown,Physical,Discovery,Unknown,Discovery Health,Health / Vitality,Unknown,Unknown,Unknown,1,Unknown,https://news.uj.ac.za/news/uj-students-won-discovery-it-graduate-hackathon-2/ ; https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/,Unknown,Unknown,https://news.uj.ac.za/news/uj-students-won-discovery-it-graduate-hackathon-2/ ; https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/,B,National IT graduate hackathon; 2014 winner named; venue not stated in sources used.,2026-08-26
E007,Discovery GradHack,Unknown,2015,2015,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Discovery,Unknown,Unknown,Health / Vitality,Unknown,Unknown,Unknown,Unknown,Unknown,https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/,Unknown,Unknown,https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/,C,Winner: UJ ACSSE students (per The Techieguy); member names not published.,2026-08-26
E008,Random Hacks of Kindness (RHoK) — Pretoria,Unknown,2014,2014,Unknown,Unknown,Pretoria,Gauteng,Unknown,Physical,RHoK community / mLab,Unknown,"Nokia, IT Varsity (prizes)",Humanitarian,Unknown,Unknown,3,3 named solutions,Unknown,https://mlab.co.za/news/rhok-pretoria-2014-hacking-for-humanity/,Unknown,Unknown,https://mlab.co.za/news/rhok-pretoria-2014-hacking-for-humanity/,B,24-hour event; full special-award winner list captured.,2026-08-26
E009,Hack.Jozi Challenge,Unknown,2015 (inaugural),2015,2015 (five-month programme),2015-07-08,Johannesburg,Gauteng,Awards: Wits Origins Centre; accelerator+hackathon sessions,Hybrid,City of Johannesburg,"Joburg Centre for Software Engineering (JCSE), Wits University; Seed Academy",City of Johannesburg (R5m); IBM Bluemix,Smart city / civic innovation,140 participants/applications,Unknown,10,3,Unknown,https://innovation-village.com/mowallet-lazy-lizzard-and-movethisstuff-win-hack-jozi-challenge/ ; https://www.joburg.org.za/media_/Newsroom/Pages/2016%20&%202015%20Articles/hack-jozi-challenge-is-the-real-deal-ID9917.aspx ; https://tshimologong.wordpress.com/2015/07/10/hackjozi-challenge-winner-announced/ ; https://www.engineeringnews.co.za/print-version/digital-marketing-solution-wins-r1-million-in-hackjozi-challenge-2015-07-24 ; http://www.esdsa.com/hack-jozi.html,Unknown,Unknown,https://innovation-village.com/mowallet-lazy-lizzard-and-movethisstuff-win-hack-jozi-challenge/ ; https://www.joburg.org.za/media_/Newsroom/Pages/2016%20&%202015%20Articles/hack-jozi-challenge-is-the-real-deal-ID9917.aspx ; https://tshimologong.wordpress.com/2015/07/10/hackjozi-challenge-winner-announced/ ; https://www.engineeringnews.co.za/print-version/digital-marketing-solution-wins-r1-million-in-hackjozi-challenge-2015-07-24 ; http://www.esdsa.com/hack-jozi.html,B,Bootcamp + accelerator + technical hackathons culminating in demo day. Runner-up order conflicting between sources (see contradiction log).,2026-08-26
E010,Hack.Jozi Challenge,Unknown,2016,2016,2016 (programme),2016-05,Johannesburg,Gauteng,Unknown,Physical,City of Johannesburg,JCSE Wits,Unknown,Smart city / civic innovation,400+ applications,Unknown,10,3,Unknown,https://disrupt-africa.com/2016/05/23/e-health-startup-wins-64k-at-hack-jozi-challenge/ ; https://www.itweb.co.za/article/hackjozi-winners-impress/XGxwQDq1rNZvlPVo,Unknown,Unknown,https://disrupt-africa.com/2016/05/23/e-health-startup-wins-64k-at-hack-jozi-challenge/ ; https://www.itweb.co.za/article/hackjozi-winners-impress/XGxwQDq1rNZvlPVo,B,Mirrored by City of Cape Town per Disrupt Africa (separate edition not yet located).,2026-08-26
E011,Wits Student App Challenge,Unknown,2015,2015,Unknown,Unknown,Johannesburg,Gauteng,Wits Digital Innovation Zone (DIZ),Physical,Wits University,Unknown,Unknown,Student apps,Unknown,Unknown,3+,3 + 3 category + 3 presentation prizes,Unknown,https://disruptafrica.com/2015/09/02/wits-uni-student-app-challenge-winners-named/,Unknown,Unknown,https://disruptafrica.com/2015/09/02/wits-uni-student-app-challenge-winners-named/,C,Team member names not published.,2026-08-26
E012,Hack4Water — hackathon weekend (Codebridge CT / Green Door DBN / Innovation Hub PTA),Unknown,2016,2016,2016-04-04 (blog),Unknown,Cape Town; Durban; Pretoria,Western Cape; KwaZulu-Natal; Gauteng,{code}bridge CT; The Green Door DBN; Innovation Hub PTA,Physical,Code for South Africa / {code}bridge,Department of Water and Sanitation; Open Government Partnership SA,Unknown,Water / climate / open data,Unknown,45+ named participants,Unknown,Unknown,Unknown,https://www.codebridge.co.za/allevents/hack4water-hack4water-hackathons.html ; https://code4sa.org/2016/04/04/hack4water-hackathon.html,https://www.codebridge.co.za/allevents/hack4water-hack4water-hackathons.html ; https://code4sa.org/2016/04/04/hack4water-hackathon.html,Unknown,https://www.codebridge.co.za/allevents/hack4water-hack4water-hackathons.html ; https://code4sa.org/2016/04/04/hack4water-hackathon.html,B,Participant lists captured from organiser page via search snapshot (page fetch failed — re-verify URL).,2026-08-26
E013,Hack4Water — national challenge,Unknown,2015/2016,2016,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Department of Water and Sanitation,Open Government Partnership SA,Unknown,Water / climate,Unknown,Unknown,Unknown,Unknown,Unknown,https://code4sa.org/2016/04/04/hack4water-hackathon.html,Unknown,Unknown,https://code4sa.org/2016/04/04/hack4water-hackathon.html,E,Nationwide challenge incl. video/idea competition with multiple categories; winners not located this pass.,2026-08-26
E014,NWU Hackday,Unknown,2016,2016,Unknown,Unknown,Potchefstroom,North West,NWU (campus not explicitly stated),Physical,NWU IT Services,Unknown,Unknown,Internal innovation,Unknown,Unknown,Unknown,2 teams,Unknown,https://services.nwu.ac.za/sites/services.nwu.ac.za/files/files/information-technology/news/IT-News2016.pdf,Unknown,Unknown,https://services.nwu.ac.za/sites/services.nwu.ac.za/files/files/information-technology/news/IT-News2016.pdf,D,Winners: 'greenhouse project' and 'virtual museum' teams; member names not captured.,2026-08-26
E015,GirlCodeHack (#GirlCodeHack),Unknown,2017 (4th annual),2017,2017-08-06,Unknown,Johannesburg,Gauteng,Unknown,Physical,GirlCode (GirlCodeZA),Unknown,Unknown,Women in tech,70+,Unknown,3,3,Unknown,https://www.iafrikan.com/2017/08/12/girlcode-the-largest-all-female-hackathon-in-south-africa/ ; https://www.brandsouthafrica.com/investments-immigration/uct-students-win-women-only-hackathon,Unknown,Unknown,https://www.iafrikan.com/2017/08/12/girlcode-the-largest-all-female-hackathon-in-south-africa/ ; https://www.brandsouthafrica.com/investments-immigration/uct-students-win-women-only-hackathon,B,Prize: trip to US women-in-tech conference.,2026-08-26
E016,GirlCodeHack,Unknown,2022 (8th annual),2022,2022-03 (two days),Unknown,Johannesburg,Gauteng,Unknown,Physical,GirlCode,Unknown,"Takealot, AWS, Mint Group, Lenovo",Break the bias (IWD 2022),Unknown,Unknown,3,3,Unknown,https://www.itweb.co.za/article/winners-of-girlcodes-women-only-hackathon-named/Gb3BwMW8GOrq2k6V,Unknown,Unknown,https://www.itweb.co.za/article/winners-of-girlcodes-women-only-hackathon-named/Gb3BwMW8GOrq2k6V,C,Winning team member names not published in located sources.,2026-08-26
E017,GirlCodeHack (Absa GirlCode Hackathon),Unknown,2025 (11th annual),2025,2025-10-12,2025-10 (30-hour),Johannesburg; Cape Town; Durban (+ 5 other African cities),Gauteng; Western Cape; KwaZulu-Natal,Unknown,Hybrid,GirlCode,Unknown,Absa,"Fintech, cybersecurity and AI",Unknown,Unknown,8 city winners,1 continental + 8 city winners,Unknown,https://www.itweb.co.za/article/sa-teams-recognised-at-girlcodehack-2025/RgeVDvPR9WXMKJN3 ; https://pctechmag.com/2025/10/makerere-university-triumph-at-the-2025-absa-girlcode-hackathon/,Unknown,Unknown,https://www.itweb.co.za/article/sa-teams-recognised-at-girlcodehack-2025/RgeVDvPR9WXMKJN3 ; https://pctechmag.com/2025/10/makerere-university-triumph-at-the-2025-absa-girlcode-hackathon/,B,Continental field; SA city winners named as teams (members not published).,2026-08-26
E018,Entelect Challenge,Unknown,2017,2017,2017 (six-month series),2017-10-07,Johannesburg,Gauteng,rAge Expo (finals),Physical,Entelect,Unknown,Unknown,AI bot coding competition,Unknown,Unknown,8,6 named,Unknown,https://entelect.co.za/ryan-louw-wins-2017-entelect-challenge/,Unknown,Unknown,https://entelect.co.za/ryan-louw-wins-2017-entelect-challenge/,B,Long-form national coding competition (not a single-weekend hackathon) — included under 'coding challenge' scope. Full 2017 rankings captured.,2026-08-26
E019,Entelect Challenge,Unknown,2019,2019,Unknown,2019-09 (finals),Johannesburg,Gauteng,Comic Con Africa (finals),Physical,Entelect,Unknown,Unknown,AI bot coding competition,Unknown,Unknown,8,Unknown,Unknown,https://japeyjapes.wordpress.com/2019/09/24/entelect-challenge-2019/,Unknown,Unknown,https://japeyjapes.wordpress.com/2019/09/24/entelect-challenge-2019/,D,3rd place documented via participant blog (pseudonymous); full rankings not located this pass.,2026-08-26
E020,Entelect Challenge,Unknown,2022,2022,Unknown,2022-09 (finals),Johannesburg,Gauteng,Comic Con Africa (finals),Physical,Entelect,Unknown,Unknown,AI bot coding competition,Unknown,Unknown,8,Unknown,Unknown,https://za.linkedin.com/posts/entelect_entelectchallenge-coding-competition-activity-6980752619631726592-YSb8,Unknown,Unknown,https://za.linkedin.com/posts/entelect_entelectchallenge-coding-competition-activity-6980752619631726592-YSb8,C,,2026-08-26
E021,Entelect Challenge,Unknown,2023,2023,Unknown,2023-09-23,Johannesburg,Gauteng,Comic Con Africa (finals),Physical,Entelect,Unknown,Unknown,AI bot coding competition (Cy-Fi),Unknown,Unknown,8,Unknown,Unknown,https://culture.entelect.co.za/stories/entelect-challenge-2023-finals-at-comic-con-africa/,Unknown,Unknown,https://culture.entelect.co.za/stories/entelect-challenge-2023-finals-at-comic-con-africa/,B,'Now in its 11th year' per organiser (vs '13th year' claimed for 2024 by MyBroadband — see contradiction log).,2026-08-26
E022,Entelect Challenge,Unknown,2024,2024,Unknown,2024-10 (finals),Johannesburg,Gauteng,Comic Con Africa (finals),Physical,Entelect,Unknown,Unknown,AI bot coding competition (Sproutopia),Unknown,Unknown,8,8 named,Unknown,https://mybroadband.co.za/news/industrynews/564860-2024-entelect-challenge-finals-south-africas-top-coders-battle-it-out-at-comic-con-africa.html,Unknown,Unknown,https://mybroadband.co.za/news/industrynews/564860-2024-entelect-challenge-finals-south-africas-top-coders-battle-it-out-at-comic-con-africa.html,B,Full top-8 with names and prizes captured.,2026-08-26
E023,Discovery GradHack,Unknown,2016,2016,Unknown,Unknown,Unknown,Unknown,Unknown,Physical,Discovery,Unknown,Unknown,Health,Unknown,Unknown,Unknown,Unknown,Unknown,https://news.uj.ac.za/news/discovery-hackathon-hat-trick-for-uj-acsse-students-2/,Unknown,Unknown,https://news.uj.ac.za/news/discovery-hackathon-hat-trick-for-uj-acsse-students-2/,B,,2026-08-26
E024,Discovery GradHack,Unknown,2017,2017,Unknown,Unknown,Johannesburg,Gauteng,Unknown,Physical,Discovery,Unknown,Unknown,Health,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.news.uct.ac.za/article/-2018-07-13-uct-team-wins-national-hackathon,Unknown,Unknown,https://www.news.uct.ac.za/article/-2018-07-13-uct-team-wins-national-hackathon,C,Winner: UCT Information Systems team (per UCT 2018 article); member names not published.,2026-08-26
